from,to,intensity_forecast,intensity_actual,intensity_index
2024-04-23T04:30Z,2024-04-23T05:00Z,163,182,moderate
2024-04-23T05:00Z,2024-04-23T05:30Z,172,188,moderate
2024-04-23T05:30Z,2024-04-23T06:00Z,202,182,moderate
2024-04-23T06:00Z,2024-04-23T06:30Z,181,183,moderate
2024-04-23T06:30Z,2024-04-23T07:00Z,177,182,moderate
2024-04-23T07:00Z,2024-04-23T07:30Z,178,181,moderate
2024-04-23T07:30Z,2024-04-23T08:00Z,181,173,moderate
2024-04-23T08:00Z,2024-04-23T08:30Z,182,166,moderate
2024-04-23T08:30Z,2024-04-23T09:00Z,173,162,moderate
2024-04-23T09:00Z,2024-04-23T09:30Z,169,159,moderate
2024-04-23T09:30Z,2024-04-23T10:00Z,159,146,moderate
2024-04-23T10:00Z,2024-04-23T10:30Z,155,130,moderate
2024-04-23T10:30Z,2024-04-23T11:00Z,145,128,moderate
2024-04-23T11:00Z,2024-04-23T11:30Z,138,121,moderate
2024-04-23T11:30Z,2024-04-23T12:00Z,121,116,moderate
2024-04-23T12:00Z,2024-04-23T12:30Z,116,104,low
2024-04-23T12:30Z,2024-04-23T13:00Z,118,108,low
2024-04-23T13:00Z,2024-04-23T13:30Z,110,106,low
2024-04-23T13:30Z,2024-04-23T14:00Z,102,114,moderate
2024-04-23T14:00Z,2024-04-23T14:30Z,102,119,moderate
2024-04-23T14:30Z,2024-04-23T15:00Z,97,124,moderate
2024-04-23T15:00Z,2024-04-23T15:30Z,120,123,moderate
2024-04-23T15:30Z,2024-04-23T16:00Z,126,121,moderate
2024-04-23T16:00Z,2024-04-23T16:30Z,129,124,moderate
2024-04-23T16:30Z,2024-04-23T17:00Z,140,129,moderate
2024-04-23T17:00Z,2024-04-23T17:30Z,144,136,moderate
2024-04-23T17:30Z,2024-04-23T18:00Z,139,146,moderate
2024-04-23T18:00Z,2024-04-23T18:30Z,146,151,moderate
2024-04-23T18:30Z,2024-04-23T19:00Z,159,152,moderate
2024-04-23T19:00Z,2024-04-23T19:30Z,156,152,moderate
2024-04-23T19:30Z,2024-04-23T20:00Z,150,156,moderate
2024-04-23T20:00Z,2024-04-23T20:30Z,145,148,moderate
2024-04-23T20:30Z,2024-04-23T21:00Z,147,140,moderate
2024-04-23T21:00Z,2024-04-23T21:30Z,138,128,moderate
2024-04-23T21:30Z,2024-04-23T22:00Z,137,93,low
2024-04-23T22:00Z,2024-04-23T22:30Z,134,85,low
2024-04-23T22:30Z,2024-04-23T23:00Z,111,86,low
2024-04-23T23:00Z,2024-04-23T23:30Z,127,84,low
2024-04-23T23:30Z,2024-04-24T00:00Z,94,80,low
2024-04-24T00:00Z,2024-04-24T00:30Z,89,80,low
2024-04-24T00:30Z,2024-04-24T01:00Z,89,81,low
2024-04-24T01:00Z,2024-04-24T01:30Z,87,85,low
2024-04-24T01:30Z,2024-04-24T02:00Z,88,90,low
2024-04-24T02:00Z,2024-04-24T02:30Z,87,85,low
2024-04-24T02:30Z,2024-04-24T03:00Z,89,86,low
2024-04-24T03:00Z,2024-04-24T03:30Z,91,88,low
2024-04-24T03:30Z,2024-04-24T04:00Z,90,97,low
2024-04-24T04:00Z,2024-04-24T04:30Z,92,108,low
2024-04-24T04:30Z,2024-04-24T05:00Z,102,130,moderate
2024-04-24T05:00Z,2024-04-24T05:30Z,122,139,moderate
2024-04-24T05:30Z,2024-04-24T06:00Z,133,137,moderate
2024-04-24T06:00Z,2024-04-24T06:30Z,145,139,moderate
2024-04-24T06:30Z,2024-04-24T07:00Z,148,135,moderate
2024-04-24T07:00Z,2024-04-24T07:30Z,139,130,moderate
2024-04-24T07:30Z,2024-04-24T08:00Z,129,123,moderate
2024-04-24T08:00Z,2024-04-24T08:30Z,116,120,moderate
2024-04-24T08:30Z,2024-04-24T09:00Z,111,123,moderate
2024-04-24T09:00Z,2024-04-24T09:30Z,111,121,moderate
2024-04-24T09:30Z,2024-04-24T10:00Z,118,117,moderate
2024-04-24T10:00Z,2024-04-24T10:30Z,118,121,moderate
2024-04-24T10:30Z,2024-04-24T11:00Z,115,120,moderate
2024-04-24T11:00Z,2024-04-24T11:30Z,120,118,moderate
2024-04-24T11:30Z,2024-04-24T12:00Z,118,121,moderate
2024-04-24T12:00Z,2024-04-24T12:30Z,112,119,moderate
2024-04-24T12:30Z,2024-04-24T13:00Z,118,116,moderate
2024-04-24T13:00Z,2024-04-24T13:30Z,118,115,moderate
2024-04-24T13:30Z,2024-04-24T14:00Z,114,115,moderate
2024-04-24T14:00Z,2024-04-24T14:30Z,111,123,moderate
2024-04-24T14:30Z,2024-04-24T15:00Z,117,125,moderate
2024-04-24T15:00Z,2024-04-24T15:30Z,129,134,moderate
2024-04-24T15:30Z,2024-04-24T16:00Z,138,145,moderate
2024-04-24T16:00Z,2024-04-24T16:30Z,139,157,moderate
2024-04-24T16:30Z,2024-04-24T17:00Z,148,164,moderate
2024-04-24T17:00Z,2024-04-24T17:30Z,161,166,moderate
2024-04-24T17:30Z,2024-04-24T18:00Z,169,168,moderate
2024-04-24T18:00Z,2024-04-24T18:30Z,167,171,moderate
2024-04-24T18:30Z,2024-04-24T19:00Z,177,178,moderate
2024-04-24T19:00Z,2024-04-24T19:30Z,183,176,moderate
2024-04-24T19:30Z,2024-04-24T20:00Z,182,173,moderate
2024-04-24T20:00Z,2024-04-24T20:30Z,184,178,moderate
2024-04-24T20:30Z,2024-04-24T21:00Z,176,175,moderate
2024-04-24T21:00Z,2024-04-24T21:30Z,179,166,moderate
2024-04-24T21:30Z,2024-04-24T22:00Z,168,158,moderate
2024-04-24T22:00Z,2024-04-24T22:30Z,157,151,moderate
2024-04-24T22:30Z,2024-04-24T23:00Z,159,158,moderate
2024-04-24T23:00Z,2024-04-24T23:30Z,148,158,moderate
2024-04-24T23:30Z,2024-04-25T00:00Z,158,168,moderate
2024-04-25T00:00Z,2024-04-25T00:30Z,161,168,moderate
2024-04-25T00:30Z,2024-04-25T01:00Z,171,159,moderate
2024-04-25T01:00Z,2024-04-25T01:30Z,167,151,moderate
2024-04-25T01:30Z,2024-04-25T02:00Z,162,148,moderate
2024-04-25T02:00Z,2024-04-25T02:30Z,147,141,moderate
2024-04-25T02:30Z,2024-04-25T03:00Z,143,154,moderate
2024-04-25T03:00Z,2024-04-25T03:30Z,134,151,moderate
2024-04-25T03:30Z,2024-04-25T04:00Z,156,157,moderate
2024-04-25T04:00Z,2024-04-25T04:30Z,167,164,moderate
2024-04-25T04:30Z,2024-04-25T05:00Z,171,173,moderate
2024-04-25T05:00Z,2024-04-25T05:30Z,186,192,high
2024-04-25T05:30Z,2024-04-25T06:00Z,177,185,moderate
2024-04-25T06:00Z,2024-04-25T06:30Z,202,186,moderate
2024-04-25T06:30Z,2024-04-25T07:00Z,190,176,moderate
2024-04-25T07:00Z,2024-04-25T07:30Z,183,171,moderate
2024-04-25T07:30Z,2024-04-25T08:00Z,176,170,moderate
2024-04-25T08:00Z,2024-04-25T08:30Z,171,165,moderate
2024-04-25T08:30Z,2024-04-25T09:00Z,169,164,moderate
2024-04-25T09:00Z,2024-04-25T09:30Z,164,161,moderate
2024-04-25T09:30Z,2024-04-25T10:00Z,170,155,moderate
2024-04-25T10:00Z,2024-04-25T10:30Z,161,150,moderate
2024-04-25T10:30Z,2024-04-25T11:00Z,158,150,moderate
2024-04-25T11:00Z,2024-04-25T11:30Z,150,154,moderate
2024-04-25T11:30Z,2024-04-25T12:00Z,150,155,moderate
2024-04-25T12:00Z,2024-04-25T12:30Z,155,156,moderate
2024-04-25T12:30Z,2024-04-25T13:00Z,158,162,moderate
2024-04-25T13:00Z,2024-04-25T13:30Z,159,161,moderate
2024-04-25T13:30Z,2024-04-25T14:00Z,167,164,moderate
2024-04-25T14:00Z,2024-04-25T14:30Z,166,177,moderate
2024-04-25T14:30Z,2024-04-25T15:00Z,168,185,moderate
2024-04-25T15:00Z,2024-04-25T15:30Z,167,194,high
2024-04-25T15:30Z,2024-04-25T16:00Z,183,197,high
2024-04-25T16:00Z,2024-04-25T16:30Z,190,199,high
2024-04-25T16:30Z,2024-04-25T17:00Z,203,199,high
2024-04-25T17:00Z,2024-04-25T17:30Z,202,204,high
2024-04-25T17:30Z,2024-04-25T18:00Z,207,208,high
2024-04-25T18:00Z,2024-04-25T18:30Z,205,212,high
2024-04-25T18:30Z,2024-04-25T19:00Z,211,212,high
2024-04-25T19:00Z,2024-04-25T19:30Z,216,215,high
2024-04-25T19:30Z,2024-04-25T20:00Z,220,222,high
2024-04-25T20:00Z,2024-04-25T20:30Z,220,219,high
2024-04-25T20:30Z,2024-04-25T21:00Z,228,212,high
2024-04-25T21:00Z,2024-04-25T21:30Z,224,196,high
2024-04-25T21:30Z,2024-04-25T22:00Z,212,178,moderate
2024-04-25T22:00Z,2024-04-25T22:30Z,201,174,moderate
2024-04-25T22:30Z,2024-04-25T23:00Z,192,173,moderate
2024-04-25T23:00Z,2024-04-25T23:30Z,172,168,moderate
2024-04-25T23:30Z,2024-04-26T00:00Z,148,165,moderate
2024-04-26T00:00Z,2024-04-26T00:30Z,174,168,moderate
2024-04-26T00:30Z,2024-04-26T01:00Z,168,169,moderate
2024-04-26T01:00Z,2024-04-26T01:30Z,166,168,moderate
2024-04-26T01:30Z,2024-04-26T02:00Z,171,164,moderate
2024-04-26T02:00Z,2024-04-26T02:30Z,167,162,moderate
2024-04-26T02:30Z,2024-04-26T03:00Z,167,168,moderate
2024-04-26T03:00Z,2024-04-26T03:30Z,166,166,moderate
2024-04-26T03:30Z,2024-04-26T04:00Z,173,176,moderate
2024-04-26T04:00Z,2024-04-26T04:30Z,172,180,moderate
2024-04-26T04:30Z,2024-04-26T05:00Z,194,195,high
2024-04-26T05:00Z,2024-04-26T05:30Z,193,209,high
2024-04-26T05:30Z,2024-04-26T06:00Z,206,208,high
2024-04-26T06:00Z,2024-04-26T06:30Z,212,213,high
2024-04-26T06:30Z,2024-04-26T07:00Z,206,209,high
2024-04-26T07:00Z,2024-04-26T07:30Z,217,201,high
2024-04-26T07:30Z,2024-04-26T08:00Z,208,194,high
2024-04-26T08:00Z,2024-04-26T08:30Z,203,193,high
2024-04-26T08:30Z,2024-04-26T09:00Z,191,190,high
2024-04-26T09:00Z,2024-04-26T09:30Z,192,190,high
2024-04-26T09:30Z,2024-04-26T10:00Z,191,187,moderate
2024-04-26T10:00Z,2024-04-26T10:30Z,192,183,moderate
2024-04-26T10:30Z,2024-04-26T11:00Z,191,183,moderate
2024-04-26T11:00Z,2024-04-26T11:30Z,181,185,moderate
2024-04-26T11:30Z,2024-04-26T12:00Z,184,176,moderate
2024-04-26T12:00Z,2024-04-26T12:30Z,190,174,moderate
2024-04-26T12:30Z,2024-04-26T13:00Z,185,175,moderate
2024-04-26T13:00Z,2024-04-26T13:30Z,178,177,moderate
2024-04-26T13:30Z,2024-04-26T14:00Z,179,192,high
2024-04-26T14:00Z,2024-04-26T14:30Z,183,204,high
2024-04-26T14:30Z,2024-04-26T15:00Z,191,214,high
2024-04-26T15:00Z,2024-04-26T15:30Z,203,218,high
2024-04-26T15:30Z,2024-04-26T16:00Z,213,224,high
2024-04-26T16:00Z,2024-04-26T16:30Z,218,225,high
2024-04-26T16:30Z,2024-04-26T17:00Z,222,224,high
2024-04-26T17:00Z,2024-04-26T17:30Z,226,226,high
2024-04-26T17:30Z,2024-04-26T18:00Z,226,229,high
2024-04-26T18:00Z,2024-04-26T18:30Z,222,231,high
2024-04-26T18:30Z,2024-04-26T19:00Z,229,235,high
2024-04-26T19:00Z,2024-04-26T19:30Z,227,236,high
2024-04-26T19:30Z,2024-04-26T20:00Z,233,238,high
2024-04-26T20:00Z,2024-04-26T20:30Z,232,234,high
2024-04-26T20:30Z,2024-04-26T21:00Z,234,229,high
2024-04-26T21:00Z,2024-04-26T21:30Z,230,215,high
2024-04-26T21:30Z,2024-04-26T22:00Z,224,196,high
2024-04-26T22:00Z,2024-04-26T22:30Z,216,197,high
2024-04-26T22:30Z,2024-04-26T23:00Z,207,193,high
2024-04-26T23:00Z,2024-04-26T23:30Z,193,190,high
2024-04-26T23:30Z,2024-04-27T00:00Z,181,188,moderate
2024-04-27T00:00Z,2024-04-27T00:30Z,189,188,moderate
2024-04-27T00:30Z,2024-04-27T01:00Z,180,187,moderate
2024-04-27T01:00Z,2024-04-27T01:30Z,180,181,moderate
2024-04-27T01:30Z,2024-04-27T02:00Z,179,176,moderate
2024-04-27T02:00Z,2024-04-27T02:30Z,175,169,moderate
2024-04-27T02:30Z,2024-04-27T03:00Z,173,164,moderate
2024-04-27T03:00Z,2024-04-27T03:30Z,169,162,moderate
2024-04-27T03:30Z,2024-04-27T04:00Z,165,161,moderate
2024-04-27T04:00Z,2024-04-27T04:30Z,161,158,moderate
2024-04-27T04:30Z,2024-04-27T05:00Z,163,156,moderate
2024-04-27T05:00Z,2024-04-27T05:30Z,153,153,moderate
2024-04-27T05:30Z,2024-04-27T06:00Z,157,154,moderate
2024-04-27T06:00Z,2024-04-27T06:30Z,155,154,moderate
2024-04-27T06:30Z,2024-04-27T07:00Z,159,149,moderate
2024-04-27T07:00Z,2024-04-27T07:30Z,154,149,moderate
2024-04-27T07:30Z,2024-04-27T08:00Z,149,150,moderate
2024-04-27T08:00Z,2024-04-27T08:30Z,146,149,moderate
2024-04-27T08:30Z,2024-04-27T09:00Z,145,150,moderate
2024-04-27T09:00Z,2024-04-27T09:30Z,145,150,moderate
2024-04-27T09:30Z,2024-04-27T10:00Z,144,155,moderate
2024-04-27T10:00Z,2024-04-27T10:30Z,149,155,moderate
2024-04-27T10:30Z,2024-04-27T11:00Z,141,155,moderate
2024-04-27T11:00Z,2024-04-27T11:30Z,150,155,moderate
2024-04-27T11:30Z,2024-04-27T12:00Z,149,154,moderate
2024-04-27T12:00Z,2024-04-27T12:30Z,149,153,moderate
2024-04-27T12:30Z,2024-04-27T13:00Z,148,154,moderate
2024-04-27T13:00Z,2024-04-27T13:30Z,146,156,moderate
2024-04-27T13:30Z,2024-04-27T14:00Z,145,155,moderate
2024-04-27T14:00Z,2024-04-27T14:30Z,155,153,moderate
2024-04-27T14:30Z,2024-04-27T15:00Z,155,155,moderate
2024-04-27T15:00Z,2024-04-27T15:30Z,153,162,moderate
2024-04-27T15:30Z,2024-04-27T16:00Z,158,161,moderate
2024-04-27T16:00Z,2024-04-27T16:30Z,165,163,moderate
2024-04-27T16:30Z,2024-04-27T17:00Z,161,157,moderate
2024-04-27T17:00Z,2024-04-27T17:30Z,165,155,moderate
2024-04-27T17:30Z,2024-04-27T18:00Z,156,160,moderate
2024-04-27T18:00Z,2024-04-27T18:30Z,155,164,moderate
2024-04-27T18:30Z,2024-04-27T19:00Z,155,167,moderate
2024-04-27T19:00Z,2024-04-27T19:30Z,160,165,moderate
2024-04-27T19:30Z,2024-04-27T20:00Z,166,158,moderate
2024-04-27T20:00Z,2024-04-27T20:30Z,163,148,moderate
2024-04-27T20:30Z,2024-04-27T21:00Z,154,138,moderate
2024-04-27T21:00Z,2024-04-27T21:30Z,149,128,moderate
2024-04-27T21:30Z,2024-04-27T22:00Z,141,116,moderate
2024-04-27T22:00Z,2024-04-27T22:30Z,137,110,moderate
2024-04-27T22:30Z,2024-04-27T23:00Z,113,110,moderate
2024-04-27T23:00Z,2024-04-27T23:30Z,110,106,low
2024-04-27T23:30Z,2024-04-28T00:00Z,113,107,low
2024-04-28T00:00Z,2024-04-28T00:30Z,103,112,moderate
2024-04-28T00:30Z,2024-04-28T01:00Z,101,113,moderate
2024-04-28T01:00Z,2024-04-28T01:30Z,100,106,low
2024-04-28T01:30Z,2024-04-28T02:00Z,106,94,low
2024-04-28T02:00Z,2024-04-28T02:30Z,102,85,low
2024-04-28T02:30Z,2024-04-28T03:00Z,94,88,low
2024-04-28T03:00Z,2024-04-28T03:30Z,83,87,low
2024-04-28T03:30Z,2024-04-28T04:00Z,90,88,low
2024-04-28T04:00Z,2024-04-28T04:30Z,90,90,low
2024-04-28T04:30Z,2024-04-28T05:00Z,87,95,low
2024-04-28T05:00Z,2024-04-28T05:30Z,89,100,low
2024-04-28T05:30Z,2024-04-28T06:00Z,91,98,low
2024-04-28T06:00Z,2024-04-28T06:30Z,97,99,low
2024-04-28T06:30Z,2024-04-28T07:00Z,109,96,low
2024-04-28T07:00Z,2024-04-28T07:30Z,90,100,low
2024-04-28T07:30Z,2024-04-28T08:00Z,97,93,low
2024-04-28T08:00Z,2024-04-28T08:30Z,97,89,low
2024-04-28T08:30Z,2024-04-28T09:00Z,91,94,low
2024-04-28T09:00Z,2024-04-28T09:30Z,82,91,low
2024-04-28T09:30Z,2024-04-28T10:00Z,86,90,low
2024-04-28T10:00Z,2024-04-28T10:30Z,86,87,low
2024-04-28T10:30Z,2024-04-28T11:00Z,82,85,low
2024-04-28T11:00Z,2024-04-28T11:30Z,81,78,low
2024-04-28T11:30Z,2024-04-28T12:00Z,82,73,low
2024-04-28T12:00Z,2024-04-28T12:30Z,77,72,low
2024-04-28T12:30Z,2024-04-28T13:00Z,73,73,low
2024-04-28T13:00Z,2024-04-28T13:30Z,69,72,low
2024-04-28T13:30Z,2024-04-28T14:00Z,67,72,low
2024-04-28T14:00Z,2024-04-28T14:30Z,71,75,low
2024-04-28T14:30Z,2024-04-28T15:00Z,73,80,low
2024-04-28T15:00Z,2024-04-28T15:30Z,77,89,low
2024-04-28T15:30Z,2024-04-28T16:00Z,82,103,low
2024-04-28T16:00Z,2024-04-28T16:30Z,91,105,low
2024-04-28T16:30Z,2024-04-28T17:00Z,101,106,low
2024-04-28T17:00Z,2024-04-28T17:30Z,108,105,low
2024-04-28T17:30Z,2024-04-28T18:00Z,106,110,moderate
2024-04-28T18:00Z,2024-04-28T18:30Z,100,112,moderate
2024-04-28T18:30Z,2024-04-28T19:00Z,98,113,moderate
2024-04-28T19:00Z,2024-04-28T19:30Z,98,110,moderate
2024-04-28T19:30Z,2024-04-28T20:00Z,99,109,low
2024-04-28T20:00Z,2024-04-28T20:30Z,87,95,low
2024-04-28T20:30Z,2024-04-28T21:00Z,86,89,low
2024-04-28T21:00Z,2024-04-28T21:30Z,85,72,low
2024-04-28T21:30Z,2024-04-28T22:00Z,73,61,low
2024-04-28T22:00Z,2024-04-28T22:30Z,59,61,low
2024-04-28T22:30Z,2024-04-28T23:00Z,54,61,low
2024-04-28T23:00Z,2024-04-28T23:30Z,57,58,low
2024-04-28T23:30Z,2024-04-29T00:00Z,81,61,low
2024-04-29T00:00Z,2024-04-29T00:30Z,59,67,low
2024-04-29T00:30Z,2024-04-29T01:00Z,69,69,low
2024-04-29T01:00Z,2024-04-29T01:30Z,63,66,low
2024-04-29T01:30Z,2024-04-29T02:00Z,60,63,low
2024-04-29T02:00Z,2024-04-29T02:30Z,68,65,low
2024-04-29T02:30Z,2024-04-29T03:00Z,66,72,low
2024-04-29T03:00Z,2024-04-29T03:30Z,65,79,low
2024-04-29T03:30Z,2024-04-29T04:00Z,69,99,low
2024-04-29T04:00Z,2024-04-29T04:30Z,81,106,low
2024-04-29T04:30Z,2024-04-29T05:00Z,97,113,moderate
2024-04-29T05:00Z,2024-04-29T05:30Z,102,116,moderate
2024-04-29T05:30Z,2024-04-29T06:00Z,107,111,moderate
2024-04-29T06:00Z,2024-04-29T06:30Z,103,102,low
2024-04-29T06:30Z,2024-04-29T07:00Z,96,89,low
2024-04-29T07:00Z,2024-04-29T07:30Z,89,80,low
2024-04-29T07:30Z,2024-04-29T08:00Z,78,74,low
2024-04-29T08:00Z,2024-04-29T08:30Z,69,63,low
2024-04-29T08:30Z,2024-04-29T09:00Z,63,53,low
2024-04-29T09:00Z,2024-04-29T09:30Z,56,49,low
2024-04-29T09:30Z,2024-04-29T10:00Z,49,49,low
2024-04-29T10:00Z,2024-04-29T10:30Z,46,48,low
2024-04-29T10:30Z,2024-04-29T11:00Z,44,48,low
2024-04-29T11:00Z,2024-04-29T11:30Z,43,41,low
2024-04-29T11:30Z,2024-04-29T12:00Z,47,40,low
2024-04-29T12:00Z,2024-04-29T12:30Z,42,39,low
2024-04-29T12:30Z,2024-04-29T13:00Z,41,42,low
2024-04-29T13:00Z,2024-04-29T13:30Z,35,41,low
2024-04-29T13:30Z,2024-04-29T14:00Z,33,34,very low
2024-04-29T14:00Z,2024-04-29T14:30Z,67,39,low
2024-04-29T14:30Z,2024-04-29T15:00Z,36,50,low
2024-04-29T15:00Z,2024-04-29T15:30Z,41,66,low
2024-04-29T15:30Z,2024-04-29T16:00Z,52,87,low
2024-04-29T16:00Z,2024-04-29T16:30Z,63,101,low
2024-04-29T16:30Z,2024-04-29T17:00Z,65,108,low
2024-04-29T17:00Z,2024-04-29T17:30Z,67,115,moderate
2024-04-29T17:30Z,2024-04-29T18:00Z,111,118,moderate
2024-04-29T18:00Z,2024-04-29T18:30Z,107,122,moderate
2024-04-29T18:30Z,2024-04-29T19:00Z,121,122,moderate
2024-04-29T19:00Z,2024-04-29T19:30Z,122,123,moderate
2024-04-29T19:30Z,2024-04-29T20:00Z,117,114,moderate
2024-04-29T20:00Z,2024-04-29T20:30Z,120,106,low
2024-04-29T20:30Z,2024-04-29T21:00Z,111,101,low
2024-04-29T21:00Z,2024-04-29T21:30Z,107,87,low
2024-04-29T21:30Z,2024-04-29T22:00Z,105,63,low
2024-04-29T22:00Z,2024-04-29T22:30Z,91,59,low
2024-04-29T22:30Z,2024-04-29T23:00Z,91,58,low
2024-04-29T23:00Z,2024-04-29T23:30Z,107,62,low
2024-04-29T23:30Z,2024-04-30T00:00Z,62,65,low
2024-04-30T00:00Z,2024-04-30T00:30Z,69,65,low
2024-04-30T00:30Z,2024-04-30T01:00Z,71,61,low
2024-04-30T01:00Z,2024-04-30T01:30Z,69,63,low
2024-04-30T01:30Z,2024-04-30T02:00Z,68,60,low
2024-04-30T02:00Z,2024-04-30T02:30Z,70,59,low
2024-04-30T02:30Z,2024-04-30T03:00Z,63,58,low
2024-04-30T03:00Z,2024-04-30T03:30Z,64,58,low
2024-04-30T03:30Z,2024-04-30T04:00Z,65,60,low
2024-04-30T04:00Z,2024-04-30T04:30Z,64,63,low
2024-04-30T04:30Z,2024-04-30T05:00Z,67,60,low
2024-04-30T05:00Z,2024-04-30T05:30Z,70,66,low
2024-04-30T05:30Z,2024-04-30T06:00Z,72,66,low
2024-04-30T06:00Z,2024-04-30T06:30Z,73,61,low
2024-04-30T06:30Z,2024-04-30T07:00Z,71,60,low
2024-04-30T07:00Z,2024-04-30T07:30Z,61,55,low
2024-04-30T07:30Z,2024-04-30T08:00Z,60,54,low
2024-04-30T08:00Z,2024-04-30T08:30Z,56,47,low
2024-04-30T08:30Z,2024-04-30T09:00Z,55,45,low
2024-04-30T09:00Z,2024-04-30T09:30Z,50,42,low
2024-04-30T09:30Z,2024-04-30T10:00Z,47,46,low
2024-04-30T10:00Z,2024-04-30T10:30Z,45,42,low
2024-04-30T10:30Z,2024-04-30T11:00Z,47,38,low
2024-04-30T11:00Z,2024-04-30T11:30Z,46,37,low
2024-04-30T11:30Z,2024-04-30T12:00Z,38,38,low
2024-04-30T12:00Z,2024-04-30T12:30Z,42,37,low
2024-04-30T12:30Z,2024-04-30T13:00Z,40,39,low
2024-04-30T13:00Z,2024-04-30T13:30Z,38,42,low
2024-04-30T13:30Z,2024-04-30T14:00Z,42,51,low
2024-04-30T14:00Z,2024-04-30T14:30Z,41,59,low
2024-04-30T14:30Z,2024-04-30T15:00Z,41,57,low
2024-04-30T15:00Z,2024-04-30T15:30Z,50,71,low
2024-04-30T15:30Z,2024-04-30T16:00Z,49,86,low
2024-04-30T16:00Z,2024-04-30T16:30Z,71,97,low
2024-04-30T16:30Z,2024-04-30T17:00Z,83,108,low
2024-04-30T17:00Z,2024-04-30T17:30Z,85,116,moderate
2024-04-30T17:30Z,2024-04-30T18:00Z,109,119,moderate
2024-04-30T18:00Z,2024-04-30T18:30Z,114,121,moderate
2024-04-30T18:30Z,2024-04-30T19:00Z,111,126,moderate
2024-04-30T19:00Z,2024-04-30T19:30Z,118,127,moderate
2024-04-30T19:30Z,2024-04-30T20:00Z,117,125,moderate
2024-04-30T20:00Z,2024-04-30T20:30Z,120,120,moderate
2024-04-30T20:30Z,2024-04-30T21:00Z,122,115,moderate
2024-04-30T21:00Z,2024-04-30T21:30Z,115,105,low
2024-04-30T21:30Z,2024-04-30T22:00Z,116,98,low
2024-04-30T22:00Z,2024-04-30T22:30Z,117,93,low
2024-04-30T22:30Z,2024-04-30T23:00Z,102,105,low
2024-04-30T23:00Z,2024-04-30T23:30Z,94,112,moderate
2024-04-30T23:30Z,2024-05-01T00:00Z,126,115,moderate
2024-05-01T00:00Z,2024-05-01T00:30Z,98,112,moderate
2024-05-01T00:30Z,2024-05-01T01:00Z,115,105,low
2024-05-01T01:00Z,2024-05-01T01:30Z,109,105,low
2024-05-01T01:30Z,2024-05-01T02:00Z,108,103,low
2024-05-01T02:00Z,2024-05-01T02:30Z,104,107,low
2024-05-01T02:30Z,2024-05-01T03:00Z,104,115,moderate
2024-05-01T03:00Z,2024-05-01T03:30Z,106,111,moderate
2024-05-01T03:30Z,2024-05-01T04:00Z,114,121,moderate
2024-05-01T04:00Z,2024-05-01T04:30Z,119,130,moderate
2024-05-01T04:30Z,2024-05-01T05:00Z,116,145,moderate
2024-05-01T05:00Z,2024-05-01T05:30Z,130,160,moderate
2024-05-01T05:30Z,2024-05-01T06:00Z,145,184,moderate
2024-05-01T06:00Z,2024-05-01T06:30Z,172,181,moderate
2024-05-01T06:30Z,2024-05-01T07:00Z,195,180,moderate
2024-05-01T07:00Z,2024-05-01T07:30Z,182,178,moderate
2024-05-01T07:30Z,2024-05-01T08:00Z,179,169,moderate
2024-05-01T08:00Z,2024-05-01T08:30Z,172,164,moderate
2024-05-01T08:30Z,2024-05-01T09:00Z,161,161,moderate
2024-05-01T09:00Z,2024-05-01T09:30Z,159,151,moderate
2024-05-01T09:30Z,2024-05-01T10:00Z,155,144,moderate
2024-05-01T10:00Z,2024-05-01T10:30Z,148,143,moderate
2024-05-01T10:30Z,2024-05-01T11:00Z,142,141,moderate
2024-05-01T11:00Z,2024-05-01T11:30Z,139,136,moderate
2024-05-01T11:30Z,2024-05-01T12:00Z,141,132,moderate
2024-05-01T12:00Z,2024-05-01T12:30Z,134,132,moderate
2024-05-01T12:30Z,2024-05-01T13:00Z,132,133,moderate
2024-05-01T13:00Z,2024-05-01T13:30Z,129,137,moderate
2024-05-01T13:30Z,2024-05-01T14:00Z,126,139,moderate
2024-05-01T14:00Z,2024-05-01T14:30Z,137,139,moderate
2024-05-01T14:30Z,2024-05-01T15:00Z,145,141,moderate
2024-05-01T15:00Z,2024-05-01T15:30Z,145,135,moderate
2024-05-01T15:30Z,2024-05-01T16:00Z,146,134,moderate
2024-05-01T16:00Z,2024-05-01T16:30Z,148,133,moderate
2024-05-01T16:30Z,2024-05-01T17:00Z,145,135,moderate
2024-05-01T17:00Z,2024-05-01T17:30Z,143,133,moderate
2024-05-01T17:30Z,2024-05-01T18:00Z,136,130,moderate
2024-05-01T18:00Z,2024-05-01T18:30Z,137,133,moderate
2024-05-01T18:30Z,2024-05-01T19:00Z,131,133,moderate
2024-05-01T19:00Z,2024-05-01T19:30Z,135,128,moderate
2024-05-01T19:30Z,2024-05-01T20:00Z,138,125,moderate
2024-05-01T20:00Z,2024-05-01T20:30Z,130,114,moderate
2024-05-01T20:30Z,2024-05-01T21:00Z,121,102,low
2024-05-01T21:00Z,2024-05-01T21:30Z,107,87,low
2024-05-01T21:30Z,2024-05-01T22:00Z,121,68,low
2024-05-01T22:00Z,2024-05-01T22:30Z,93,62,low
2024-05-01T22:30Z,2024-05-01T23:00Z,99,59,low
2024-05-01T23:00Z,2024-05-01T23:30Z,101,60,low
